source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
PigiaMe,Sale,5 bedroom villa for sale in Spring Valley,"KSh 64,000,000","Spring Valley, Nairobi",5 bed,,,,,2026-02-23T16:23:17.919353
PigiaMe,Sale,5 Bed Townhouse with En Suite in Karen,"KSh 150,000,000","Karen, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-townhouse-with-en-suite-in-karen-6556698,2026-02-23T16:23:17.929060
PigiaMe,Sale,5 Bed Townhouse with En Suite in Karen,"KSh 150,000,000","Karen, Nairobi",5 bed,,,,,2026-02-23T16:23:17.934138
PigiaMe,Sale,6bedroom manson for sale in Syokimau,"KSh 19,500,000","Syokimau, Nairobi",6 bed,,,,https://www.pigiame.co.ke/listings/6bedroom-manson-for-sale-in-syokimau-6511642,2026-02-23T16:23:18.005022
PigiaMe,Sale,6bedroom manson for sale in Syokimau,"KSh 19,500,000","Syokimau, Nairobi",6 bed,,,,https://www.pigiame.co.ketel:+254751705611,2026-02-23T16:23:18.008832
PigiaMe,Sale,6bedroom manson for sale in Syokimau,"KSh 19,500,000","Syokimau, Nairobi",6 bed,,,,,2026-02-23T16:23:18.010616
PigiaMe,Sale,4 Bed House in Kiambu Road,"KSh 25,000,000","Kiambu Road, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-in-kiambu-road-6381186,2026-02-23T16:23:34.173366
PigiaMe,Sale,4 Bed House in Kiambu Road,"KSh 25,000,000","Kiambu Road, Nairobi",4 bed,,,,,2026-02-23T16:23:34.178714
PigiaMe,Sale,5 Bed Villa with En Suite in Lavington,"KSh 115,000,000","Lavington, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-villa-with-en-suite-in-lavington-6467264,2026-02-23T16:23:34.356788
PigiaMe,Sale,5 Bed Villa with En Suite in Lavington,"KSh 115,000,000","Lavington, Nairobi",5 bed,,,,,2026-02-23T16:23:34.360734
PigiaMe,Sale,Maisonnette For Sale,"KSh 85,000,000","Embakasi, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/maisonnette-for-sale-6535703,2026-02-23T16:23:34.424728
PigiaMe,Sale,Maisonnette For Sale,"KSh 85,000,000","Embakasi, Nairobi",3 bed,,,,https://www.pigiame.co.ketel:+254722636649,2026-02-23T16:23:34.427448
PigiaMe,Sale,Maisonnette For Sale,"KSh 85,000,000","Embakasi, Nairobi",3 bed,,,,,2026-02-23T16:23:34.428900
